,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Avg,Econ,SR,5w,10w
lost batting first,2012-2022,13,24,448.0,82,1500,49,5/60,8/200,30.61,3.34,54.8,2,0
lost fielding first,2012-2019,13,23,488.2,93,1514,37,5/57,9/164,40.91,3.10,79.1,2,0
drawn batting first,2013-2014,5,10,217.0,74,530,22,6/68,7/123,24.09,2.44,59.1,1,0
drawn fielding first,2012-2018,9,16,369.1,73,1137,27,4/64,6/176,42.11,3.07,82.0,0,0
2 team series,2011-2022,78,149,2902.5,656,8717,317,6/30,10/80,27.49,3.00,54.9,10,1
5+ team tournaments,2019-2022,15,30,561.3,125,1719,64,5/43,8/200,26.85,3.06,52.6,2,0
only match in series,2012-2021,2,4,54.1,13,125,7,3/39,5/86,17.85,2.30,46.4,0,0
1st match in series,2012-2022,34,64,1267.2,292,3661,126,6/32,9/99,29.05,2.88,60.3,3,0
2nd match in series,2011-2022,34,65,1278.0,278,3999,148,6/30,10/80,27.02,3.12,51.8,5,1
3rd match in series,2013-2022,8,16,303.2,73,932,36,6/68,7/101,25.88,3.07,50.5,2,0
ICC World Test Champ,2019-2022,15,30,561.3,125,1719,64,5/43,8/200,26.85,3.06,52.6,2,0
Trans-Tasman Trophy,2011-2019,7,13,261.0,35,959,23,5/60,7/101,41.69,3.67,68.0,1,0
tournament finals,2021-2021,1,2,36.1,6,86,5,3/39,5/86,17.20,2.37,43.4,0,0
preliminary matches,2019-2022,14,28,525.2,119,1633,59,5/43,8/200,27.67,3.10,53.4,2,0
1st position,2012-2022,52,92,1790.0,400,5394,202,6/30,10/80,26.70,3.01,53.1,7,1
2nd position,2011-2022,35,55,1095.5,252,3250,114,5/43,8/200,28.50,2.96,57.6,3,0
3rd position,2012-2012,1,1,8.0,0,58,1,1/58,2/151,58.00,7.25,48.0,0,0
5th position,2012-2012,1,1,9.0,4,15,0,-,2/39,-,1.66,-,0,0
