,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Avg,Econ,SR,5w,10w
1st match innings,2011-2024,28,28,566.3,124,1635,67,5/38,10/62,24.40,2.88,50.7,3,1
2nd match innings,2017-2024,34,34,713.0,153,2134,89,6/91,10/97,23.97,2.99,48.0,4,1
3rd match innings,2011-2024,29,28,429.5,101,1181,65,6/23,10/62,18.16,2.74,39.6,4,1
4th match innings,2017-2024,27,25,393.0,86,1113,48,5/49,10/97,23.18,2.83,49.1,1,1
day match,2011-2024,55,101,1872.2,411,5439,235,6/27,10/97,23.14,2.90,47.8,11,1
day/night match,2017-2024,7,14,230.0,53,624,34,6/23,10/62,18.35,2.71,40.5,1,1
won match,2011-2024,35,68,1150.5,266,3033,166,6/23,10/62,18.27,2.63,41.5,9,2
lost match,2017-2024,17,31,602.4,120,1965,71,6/27,9/99,27.67,3.26,50.9,3,0
drawn match,2017-2023,10,16,348.5,78,1065,32,4/29,6/96,33.28,3.05,65.4,0,0
won batting first,2017-2024,18,35,598.1,130,1553,81,5/28,10/97,19.17,2.59,44.3,4,1
won fielding first,2011-2024,17,33,552.4,136,1480,85,6/23,10/62,17.41,2.67,39.0,5,1
lost batting first,2017-2023,9,15,280.0,60,964,32,6/91,7/168,30.12,3.44,52.5,1,0
lost fielding first,2017-2024,8,16,322.4,60,1001,39,6/27,9/99,25.66,3.10,49.6,2,0
drawn batting first,2017-2023,7,11,250.5,54,791,25,4/29,5/101,31.64,3.15,60.2,0,0
drawn fielding first,2019-2022,3,5,98.0,24,274,7,3/35,6/96,39.14,2.79,84.0,0,0
2 team series,2011-2024,61,113,2069.2,461,5925,265,6/23,10/62,22.35,2.86,46.8,12,2
5+ team tournaments,2019-2024,42,78,1368.5,304,3993,175,6/91,10/97,22.81,2.91,46.9,8,1
1st match in series,2017-2024,19,35,564.2,136,1547,77,6/23,10/62,20.09,2.74,43.9,3,1
2nd match in series,2011-2024,18,34,602.5,121,1625,66,6/79,10/97,24.62,2.69,54.8,4,1
3rd match in series,2017-2024,12,23,452.2,110,1227,65,6/27,9/99,18.87,2.71,41.7,4,0
4th match in series,2017-2023,8,13,306.0,67,1024,35,5/83,9/141,29.25,3.34,52.4,1,0
5th match in series,2018-2023,4,8,143.5,27,502,22,4/39,8/119,22.81,3.49,39.2,0,0
Benaud-Qadir Trophy,2022-2024,6,12,199.1,39,498,31,5/48,10/97,16.06,2.50,38.5,4,1
Border-Gavaskar,2017-2023,12,20,417.4,105,1171,46,6/27,9/99,25.45,2.80,54.4,1,0
Frank Worrell Trophy,2022-2024,3,5,77.2,15,215,8,4/41,4/66,26.87,2.78,58.0,0,0
ICC World Test Champ,2019-2024,42,78,1368.5,304,3993,175,6/91,10/97,22.81,2.91,46.9,8,1
The Ashes,2017-2023,19,36,693.3,143,2194,91,6/91,8/119,24.10,3.16,45.7,2,0
Trans-Tasman Trophy,2019-2020,3,6,101.4,27,225,12,5/28,5/75,18.75,2.21,50.8,1,0
tournament finals,2023-2023,1,2,33.0,3,138,4,3/83,4/138,34.50,4.18,49.5,0,0
preliminary matches,2019-2024,41,76,1335.5,301,3855,171,6/91,10/97,22.54,2.88,46.8,8,1
1st position,2017-2023,13,18,330.2,75,1033,36,4/43,7/103,28.69,3.12,55.0,0,0
2nd position,2011-2023,24,36,667.0,154,1883,90,6/79,8/79,20.92,2.82,44.4,5,0
3rd position,2017-2024,31,44,821.4,176,2360,94,5/38,10/62,25.10,2.87,52.4,4,2
4th position,2017-2024,14,17,283.2,59,787,49,6/23,10/62,16.06,2.77,34.6,3,2
