,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
won toss & batted,2013-2024,38,72,5,2682,167*,40.02,4628,57.95,5,13,8,306,21
won toss & fielded,2012-2023,19,32,3,991,136,34.17,1510,65.62,3,4,3,131,14
lost toss & sent in,2013-2023,14,26,1,897,140,35.88,1452,61.77,2,5,3,102,11
lost toss & fielded,2012-2024,29,48,3,1472,162,32.71,2638,55.79,2,4,3,180,10
matches batting first,2013-2024,52,98,6,3579,167*,38.90,6080,58.86,7,18,11,408,32
matches fielding first,2012-2024,48,80,6,2463,162,33.28,4148,59.37,5,8,6,311,24
1st team innings,2012-2024,100,99,3,3926,167*,40.89,6742,58.23,10,17,8,479,27
2nd team innings,2012-2024,90,79,9,2116,136,30.22,3486,60.69,2,9,9,240,29
1st match innings,2013-2024,52,52,2,2332,167*,46.64,3915,59.56,7,11,6,277,16
2nd match innings,2012-2024,48,47,1,1594,162,34.65,2827,56.38,3,6,2,202,11
3rd match innings,2013-2024,50,47,4,1273,83,29.60,2213,57.52,0,7,5,136,16
4th match innings,2012-2024,40,32,5,843,136,31.22,1273,66.22,2,2,4,104,13
day match,2012-2024,96,171,12,5941,167*,37.36,10001,59.40,12,26,14,707,56
day/night match,2017-2021,4,7,0,101,36,14.42,227,44.49,0,0,3,12,0
won match,2012-2024,44,71,5,2754,162,41.72,4265,64.57,6,14,4,340,24
lost match,2012-2024,41,82,1,2034,119,25.11,3946,51.54,1,10,13,244,15
drawn match,2012-2023,15,25,6,1254,167*,66.00,2017,62.17,5,2,0,135,17
won batting first,2013-2024,24,43,1,1578,140,37.57,2648,59.59,2,11,4,187,9
won fielding first,2012-2023,20,28,4,1176,162,49.00,1617,72.72,4,3,0,153,15
lost batting first,2013-2024,20,40,0,1094,119,27.35,1966,55.64,1,6,7,119,14
lost fielding first,2012-2024,21,42,1,940,95,22.92,1980,47.47,0,4,6,125,1
drawn batting first,2016-2022,8,15,5,907,167*,90.70,1466,61.86,4,1,0,102,9
drawn fielding first,2012-2023,7,10,1,347,113,38.55,551,62.97,1,1,0,33,8
2 team series,2012-2024,100,178,12,6042,167*,36.39,10228,59.07,12,26,17,719,56
5+ team tournaments,2019-2024,35,67,6,2236,162,36.65,3377,66.21,6,6,7,272,32
only match in series,2019-2023,2,2,0,0,0,0.00,12,0.00,0,0,2,0,0
1st match in series,2012-2024,25,47,3,1442,140,32.77,2550,56.54,2,5,3,177,8
2nd match in series,2012-2024,25,43,5,1630,150*,42.89,2673,60.98,3,8,0,199,19
3rd match in series,2012-2024,24,41,2,1469,167*,37.66,2516,58.38,4,6,6,173,6
4th match in series,2013-2024,15,27,1,927,113,35.65,1554,59.65,1,6,4,104,12
5th match in series,2014-2024,9,18,1,574,114*,33.76,923,62.18,2,1,2,66,11
Basil D'Oliveira,2012-2022,12,22,2,915,150*,45.75,1360,67.27,1,6,2,120,7
Botham-Richards Trop,2022-2022,3,6,1,226,140,45.20,428,52.80,1,0,1,28,2
ICC World Test Champ,2019-2024,35,67,6,2236,162,36.65,3377,66.21,6,6,7,272,32
The Ashes,2013-2023,26,47,2,1406,119,31.24,2629,53.48,2,6,1,168,14
The Wisden Trophy,2012-2019,9,13,1,207,52,17.25,379,54.61,0,1,0,32,1
3rd position,2018-2021,7,14,1,400,110,30.76,706,56.65,1,1,3,46,3
4th position,2016-2018,2,2,0,21,15,10.50,50,42.00,0,0,0,1,0
5th position,2012-2024,36,57,2,1912,162,34.76,2881,66.36,4,8,6,232,25
6th position,2012-2024,34,51,3,1895,167*,39.47,3633,52.16,4,8,5,227,6
7th position,2012-2023,35,51,6,1702,150*,37.82,2770,61.44,3,8,3,200,22
8th position,2014-2017,3,3,0,112,58,37.33,188,59.57,0,1,0,13,0
